Designator,Mid X,Mid Y,Rotation,Layer
C1,87.63,-79.7175,270.0,top
C2,87.63,-85.3825,270.0,top
C3,87.63,-91.1475,90.0,top
D1,127.0,-72.39,0.0,top
J1,89.154,-67.564,180.0,top
Q1,107.0125,-76.2,180.0,top
Q2,107.0125,-81.28,180.0,top
Q3,107.0125,-86.36,180.0,top
R1,112.75,-76.2,180.0,top
R2,91.44,-79.655,270.0,top
R3,101.346,-74.702,90.0,top
R4,101.346,-80.29,270.0,top
R5,112.75,-81.28,180.0,top
R6,91.44,-85.445,90.0,top
R7,101.346,-85.878,270.0,top
R8,112.75,-86.36,180.0,top
R9,91.44,-91.16,270.0,top
U1,107.95,-77.37,0.0,top
