Designator,Mid X,Mid Y,Rotation,Layer
ADS1115,110.4095,-80.002,270.0,top
AMS1117,101.5125,-99.35,270.0,top
C1,93.98,-94.2725,270.0,top
C2,93.98,-100.9375,90.0,top
C3,98.175,-89.0625,90.0,top
C4,118.364,-81.5725,90.0,top
ESP-01,115.57,-100.33,90.0,top
FB1,102.8375,-91.0,180.0,top
FB2,102.8375,-86.5,180.0,top
J1,93.98,-80.518,90.0,top
J2,88.9,-100.33,0.0,top
R1,113.03,-91.45,90.0,top
R2,116.34,-91.45,90.0,top
R3,119.65,-91.45,90.0,top
R4,111.48,-85.09,0.0,top
R5,89.942,-85.344,0.0,top
R6,89.942,-89.154,0.0,top
